Vehicle_Title,Review_Title,Review,Rating
2015 Porsche Macan SUV Turbo 4dr SUV AWD (3.6L 6cyl Turbo 7AM),Porsche Macan is a Beast," I owned a Porsche Cayenne for two years and enjoyed it but wanted something with a better balance of power, quickness and supreme handling without giving up sitting up off the road like an SUV offers.  The Macan provides the best driving experience of any car I have ever owned.  The 3.6 L turbo and the standard adaptive suspension make the ride like no other SUV and many 2-door sports cars can’t touch.  The 0-60 in ~4.2 seconds and the ability to masterfully handle curves at higher speeds than you can imagine possible makes every drive an experience.  Beautiful styling in both the interior and exterior.  Porsche has built an amazing high performance vehicle in the Macan Turbo",5
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),Outstanding ride!," Love my 2015 Porsche Macan S SUV, but please look hard into buying a maintenance contract. Porsche replacement parts are VERY expensive.",5
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),Pretty and comfy," Great looking vehicle with the most comfortable seats.  Could use a little more highway refinement and in my opinion more pickup.  For the cost, I would also like auto braking and better technology",4
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),"Once you've gone Porsche, it's hard to go back"," Crossover that drives like a Porsche- I outgrew my Cayman, but older and wiser doesn't have to mean less fun....",5
2015 Porsche Macan SUV Turbo 4dr SUV AWD (3.6L 6cyl Turbo 7AM),The 911 SUV," Fun to drive SUV:very close to handling like a 911 in the sport plus mode,A great handling and driving car ;however interior space is small for a SUV;however it has  all the space that I really need .Durability is questionable for a 95000.00 vehicle.At 75000 miles the transmission had to be replaced;even though it was far out of my 50000 mile warranty; Porsche covered the replacement 100%. I also had to replace the valve cover gaskets,at this time. I normally try to drive my Porsche vehicles 150000 to 160000 miles before I sell it or trade it ;however I'm a little nervous about the future dependability of this one;therefore I ordered a 2018 Macon GTS and will off this one at 85000 miles.",5
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),Forgot I am driving an SUV," The performance and handling are the obvious reasons for why I got the Macan. But now, after 1300 miles, the experience keeps getting better.  Being 4'11"" is always a challenge but the seat and steering wheel easily accomodate me.  And the side mirror doesn't block my view when making left turns - that is not the case in the Audi Q5 which I also considered. I can see all around which was a problem in the BMW X6 which has a rear window that left me with huge blind spots. The best comfort feature is the vented seats.  In a black with black interior, the vented seats cool quickly and keep me cool on hot summer days. The only nit I have is that the Apple Car Play doesnt always turn on when I plug in my iPhone 6. Although it isnt an issue if my husband plugs in his iPhone 6S. I have one warning, it is easy to go very fast and not realize it. 50 feels like 35. 90 feels like 70.  So newbies need to get used to the handling to control themselves...or not!  Took a ride in my friend's Tesla and while the 400hp could do 0-60 in 4 seconds and make. you feel like you sere on a roller coaster, you felt the curves and the car feels looser. My Macan is much better and hugs the curves for better control.     ----having trouble adding in the purchase date so adding it hear: August 2016 bought a 2017.",5
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),Best handling SUV on the market still going strong," It might cost a bit more than the competition but its worth every penny.  My wife thinks it is luxurious and quiet. My kids think its the most comfortable car we owned and my main attraction to the car is its performance and handling.  What kind of black magic is this?!  Porsche tunes their base suspension so well that you will be wasting money on PASM or air suspension.  You won't need it unless you are chasing seconds on a race track.  The S makes plenty power so I wouldn't bother going with the TURBO unless you want to drag race someone all the time.  I would recommend getting at least the BOSE stereo upgrade as the base unit sounds horrible.  I would also recommend getting the sport seat for its superior support and comfort.  If you keep disciplined and not get tempted by all those other options, you can get it at a reasonable price.  I have achieved 29 MPG on the highway at 65 MPH for a 30 minutes stretch.  But it is so much fun getting on the gas and listen to the exhaust pop with the gear change.  The PDK is nothing short of phenomenal.   Your real life mileage will be closer to 20 MPG. Three years in, the car is still a delight. A few recalls have not made any difference to my enjoyment. No unbecoming rattles and shakes. Still have plenty treads on tires and brakes are good for more miles. The Porsche dealers’ pricing for service has gone off the deep end, going from a reasonable $300 for the first service to $1600 for the 30k service. That is basically an oil change and new plugs. Thankfully nothing a local garage cannot handle for a fraction of the cost.  The only dilemma I face is what to replace it with when I sell it.  June 2018 update.  Dealer has learned the errors of its ways.  Whole Service department has be reorganized.  Offering service specials to get its customers back.  Front tires still have 4/32 and rears 6/32.  Will replace after the summer.  Everything still working well.  Still don't see anything in the market which could be a worthwhile replacement.",5
2015 Porsche Macan SUV Turbo 4dr SUV AWD (3.6L 6cyl Turbo 7AM),Pocket rocket," Too fast, too sophisticated, reliable and one hell of a German masterpiece.",5
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),Sport Sedan in an SUV Body," I had mixed feelings about buying this car because I had a Lexus RX400h with 105,000 miles on it that was still a perfectly good car. I didn't need a new car, however I was so tired of driving the Lexus. And the difference in driving pleasure of the Porsche vs. Lexus is night and day. The Porsche is an SUV that is actually fun to drive. Great handling and acceleration. And while the Lexus was comfortable, the Porsche feels much more special with higher quality fit and finish. I'm partial to Porsche's based on currently owning a Boxster S and having 911's in the past. The Macan is very bit a Porsche. I also test drove the new Volvo XC90 and BMW X5 before deciding on the Macan S. Both have interiors just as nice as the Macan, and in fact I liked the Volvo interior the best. However neither came close to the driving performance and feel of the Macan S.",5
2015 Porsche Macan SUV S 4dr SUV AWD (3.0L 6cyl Turbo 7AM),I love this CAR!!!," Compared to any other car I have ever owned, this tops the cake!  Drives like a car, yet sits higher and has a bit more carrying capacity than a car.  I no longer get upset about sitting in traffic, even though this car wants to race!!",5
